protein,pdb_path,reason,valid
A0A075B7D9,,missing_pdb,False
A0A075B7F2,,missing_pdb,False
A0A087WTK3,,missing_pdb,False
A0A087WTM9,,missing_pdb,False
A0A087WV96,,missing_pdb,False
A0A087WWY2,,missing_pdb,False
A0A087WX22,,missing_pdb,False
A0A087WZL0,,missing_pdb,False
A0A087X286,,missing_pdb,False
A0A0A0MQZ3,,missing_pdb,False
A0A0A0MRC9,,missing_pdb,False
A0A0A0MSS2,,missing_pdb,False
A0A0B4J1X7,,missing_pdb,False
A0A0C4DGH6,,missing_pdb,False
A0A0D9SEQ1,,missing_pdb,False
A0A0D9SFG7,,missing_pdb,False
A0A0D9SFI5,,missing_pdb,False
A0A0G2JHL3,,missing_pdb,False
A0A140G945,,missing_pdb,False
A0A140G945-2,,missing_pdb,False
A0A1B0GU48,,missing_pdb,False
A0A1B0GUD1,,missing_pdb,False
A0A1B0GUJ8,,missing_pdb,False
A0A1B0GV89,,missing_pdb,False
A0A1B0GVS8,,missing_pdb,False
A0A1B0GW79,,missing_pdb,False
A0AV96,,missing_pdb,False
A0FGR8,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A0FGR8.pdb,exact_sequence_match,True
A0JNW5,,missing_pdb,False
A0MZ66,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A0MZ66.pdb,exact_sequence_match,True
A1L390,,missing_pdb,False
A2A2Y4,,missing_pdb,False
A2A305,,missing_pdb,False
A2ASS6,,missing_pdb,False
A2RTX5,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A2RTX5.pdb,exact_sequence_match,True
A4D1B5,,missing_pdb,False
A4FVN8,,missing_pdb,False
A4GSN8,,missing_pdb,False
A4UGR9,,missing_pdb,False
A5A3E0,,missing_pdb,False
A5PKW4,,missing_pdb,False
A6H8Y1,,missing_pdb,False
A6NC57,,missing_pdb,False
A6NCF6,,missing_pdb,False
A6ND36,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A6ND36.pdb,exact_sequence_match,True
A6NDB9,,missing_pdb,False
A6NDI0,,missing_pdb,False
A6NE01,,missing_pdb,False
A6NEL2,,missing_pdb,False
A6NI28,,missing_pdb,False
A6NIR3,,missing_pdb,False
A6NJ78,,missing_pdb,False
A6NJG2,,missing_pdb,False
A6NJT0,,missing_pdb,False
A6NKD9,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A6NKD9.pdb,exact_sequence_match,True
A6NL76,,missing_pdb,False
A6PW80,,missing_pdb,False
A6PWY4,,missing_pdb,False
A7YQ68,,missing_pdb,False
A8HVA3,,missing_pdb,False
A8MRL0,,missing_pdb,False
A8MUU1,,missing_pdb,False
A8MW92,,missing_pdb,False
A8MX80,,missing_pdb,False
A8R7K9,,missing_pdb,False
A8TX70,,missing_pdb,False
A9UF07,,missing_pdb,False
B0I1T2,,missing_pdb,False
B1AK53,,missing_pdb,False
B1AKS2,,missing_pdb,False
B1AKS3,,missing_pdb,False
B1AL42,,missing_pdb,False
B1AQ74,,missing_pdb,False
B2RTY4,,missing_pdb,False
B2RU80,,missing_pdb,False
B2RXF5,,missing_pdb,False
B3H684,,missing_pdb,False
B3KT78,,missing_pdb,False
B3KUH8,,missing_pdb,False
B4DEB1,,missing_pdb,False
B4DHB9,,missing_pdb,False
B4DIA2,,missing_pdb,False
B4DR24,,missing_pdb,False
B4DXM8,,missing_pdb,False
B4DXW7,,missing_pdb,False
B4DYI2,,missing_pdb,False
B4E0R2,,missing_pdb,False
B7Z8M0,,missing_pdb,False
B7Z8Z6,,missing_pdb,False
B7ZB98,,missing_pdb,False
B7ZL33,,missing_pdb,False
B8ZZJ2,,missing_pdb,False
B9DFQ9,,missing_pdb,False
B9EJA2,,missing_pdb,False
C0Z2J1,,missing_pdb,False
C9IZL8,,missing_pdb,False
C9JC48,,missing_pdb,False
C9JL08,,missing_pdb,False
C9JR00,,missing_pdb,False
C9JRZ8-2,,missing_pdb,False
C9JSK5,,missing_pdb,False
D3ZH66,,missing_pdb,False
D6RBW1,,missing_pdb,False
D6RC17,,missing_pdb,False
D6RCC7,,missing_pdb,False
D6RDG3,,missing_pdb,False
E5RFT1,,missing_pdb,False
E7EMB3,,missing_pdb,False
E7EPF5,,missing_pdb,False
E7EQJ3,,missing_pdb,False
E7ESH4,,missing_pdb,False
E7EV03,,missing_pdb,False
E9PAU2,,missing_pdb,False
E9PAV3,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/E9PAV3.pdb,exact_sequence_match,True
E9PBA8,,missing_pdb,False
E9PDH4,,missing_pdb,False
E9PDP5,,missing_pdb,False
E9PI26,,missing_pdb,False
E9PLY5,,missing_pdb,False
E9PM13,,missing_pdb,False
E9PNE6,,missing_pdb,False
E9PNL0,,missing_pdb,False
E9PNZ4,,missing_pdb,False
E9PP40,,missing_pdb,False
E9PRP5,,missing_pdb,False
E9PS65,,missing_pdb,False
E9PUM4,,missing_pdb,False
E9Q3L2,,missing_pdb,False
F0NB90,,missing_pdb,False
F0NB92,,missing_pdb,False
F0NB93,,missing_pdb,False
F0NB95,,missing_pdb,False
F0NB96,,missing_pdb,False
F0NB98,,missing_pdb,False
F0NB99,,missing_pdb,False
F0NBA4,,missing_pdb,False
F0NBA6,,missing_pdb,False
F0NBA7,,missing_pdb,False
F0NBA8,,missing_pdb,False
F0NBA9,,missing_pdb,False
F0NBB0,,missing_pdb,False
F0NBB1,,missing_pdb,False
F0NBB2,,missing_pdb,False
F0NBB3,,missing_pdb,False
F0NBB6,,missing_pdb,False
F0NBB8,,missing_pdb,False
F0NBC0,,missing_pdb,False
F0NBC1,,missing_pdb,False
F0NBC3,,missing_pdb,False
F0NBC4,,missing_pdb,False
F0NBC6,,missing_pdb,False
F0NBC7,,missing_pdb,False
F0NBC9,,missing_pdb,False
F0NBD0,,missing_pdb,False
F0NBD1,,missing_pdb,False
F0NBD4,,missing_pdb,False
F0NBD6,,missing_pdb,False
F0NBD7,,missing_pdb,False
F0NBD8,,missing_pdb,False
F0NBE1,,missing_pdb,False
F0NBE3,,missing_pdb,False
F0NBE5,,missing_pdb,False
F0NBE7,,missing_pdb,False
F0NBF0,,missing_pdb,False
F0NBF1,,missing_pdb,False
F0NBF3,,missing_pdb,False
F0NBF5,,missing_pdb,False
F0NBF9,,missing_pdb,False
F0NBG0,,missing_pdb,False
F0NBG3,,missing_pdb,False
F0NBG4,,missing_pdb,False
F0NBG5,,missing_pdb,False
F0NBG7,,missing_pdb,False
F0NBG8,,missing_pdb,False
F0NBG9,,missing_pdb,False
F0NBH1,,missing_pdb,False
F0NBH2,,missing_pdb,False
F0NBH3,,missing_pdb,False
F0NBH4,,missing_pdb,False
F0NBH5,,missing_pdb,False
F0NBH6,,missing_pdb,False
F0NBH7,,missing_pdb,False
F0NBH8,,missing_pdb,False
F0NBH9,,missing_pdb,False
F0NBI0,,missing_pdb,False
F0NBI1,,missing_pdb,False
F0NBI3,,missing_pdb,False
F0NBI5,,missing_pdb,False
F0NBI6,,missing_pdb,False
F0NBI7,,missing_pdb,False
F0NBI8,,missing_pdb,False
F0NBI9,,missing_pdb,False
F0NBJ1,,missing_pdb,False
F0NBK1,,missing_pdb,False
F0NBK6,,missing_pdb,False
F0NBL5,,missing_pdb,False
F0NBL8,,missing_pdb,False
F0NBL9,,missing_pdb,False
F0NBM0,,missing_pdb,False
F0NBM2,,missing_pdb,False
F0NBM9,,missing_pdb,False
F0NBN0,,missing_pdb,False
F0NBN1,,missing_pdb,False
F0NBN8,,missing_pdb,False
F0NBP0,,missing_pdb,False
F0NBP3,,missing_pdb,False
F0NBP4,,missing_pdb,False
F0NBP9,,missing_pdb,False
F0NBQ0,,missing_pdb,False
F0NBQ1,,missing_pdb,False
F0NBQ2,,missing_pdb,False
F0NBQ3,,missing_pdb,False
F0NBQ4,,missing_pdb,False
F0NBQ5,,missing_pdb,False
F0NBQ7,,missing_pdb,False
F0NBQ8,,missing_pdb,False
F0NBQ9,,missing_pdb,False
F0NBR2,,missing_pdb,False
F0NBR3,,missing_pdb,False
F0NBR4,,missing_pdb,False
F0NBR7,,missing_pdb,False
F0NBR8,,missing_pdb,False
F0NBR9,,missing_pdb,False
F0NBS1,,missing_pdb,False
F0NBS2,,missing_pdb,False
F0NBS3,,missing_pdb,False
F0NBS4,,missing_pdb,False
F0NBS6,,missing_pdb,False
F0NBS7,,missing_pdb,False
F0NBT7,,missing_pdb,False
F0NBU0,,missing_pdb,False
F0NBU1,,missing_pdb,False
F0NBU2,,missing_pdb,False
F0NBV0,,missing_pdb,False
F0NBV3,,missing_pdb,False
F0NBV4,,missing_pdb,False
F0NBV7,,missing_pdb,False
F0NBV8,,missing_pdb,False
F0NBV9,,missing_pdb,False
F0NBW5,,missing_pdb,False
F0NBW6,,missing_pdb,False
F0NBW7,,missing_pdb,False
F0NBW8,,missing_pdb,False
F0NBW9,,missing_pdb,False
F0NBX0,,missing_pdb,False
F0NBX7,,missing_pdb,False
F0NBX8,,missing_pdb,False
F0NBY0,,missing_pdb,False
F0NBY1,,missing_pdb,False
F0NBZ1,,missing_pdb,False
F0NBZ3,,missing_pdb,False
F0NBZ5,,missing_pdb,False
F0NBZ6,,missing_pdb,False
F0NBZ9,,missing_pdb,False
F0NC00,,missing_pdb,False
F0NC08,,missing_pdb,False
F0NC11,,missing_pdb,False
F0NC13,,missing_pdb,False
F0NC14,,missing_pdb,False
F0NC15,,missing_pdb,False
F0NC18,,missing_pdb,False
F0NC21,,missing_pdb,False
F0NC22,,missing_pdb,False
F0NC23,,missing_pdb,False
F0NC25,,missing_pdb,False
F0NC26,,missing_pdb,False
F0NC30,,missing_pdb,False
F0NC34,,missing_pdb,False
F0NC36,,missing_pdb,False
F0NC44,,missing_pdb,False
F0NC55,,missing_pdb,False
F0NC56,,missing_pdb,False
F0NC61,,missing_pdb,False
F0NC65,,missing_pdb,False
F0NC66,,missing_pdb,False
F0NC67,,missing_pdb,False
F0NC69,,missing_pdb,False
F0NC70,,missing_pdb,False
F0NC71,,missing_pdb,False
F0NC72,,missing_pdb,False
F0NC73,,missing_pdb,False
F0NC76,,missing_pdb,False
F0NC77,,missing_pdb,False
F0NC81,,missing_pdb,False
F0NC84,,missing_pdb,False
F0NC87,,missing_pdb,False
F0NC88,,missing_pdb,False
F0NC91,,missing_pdb,False
F0NC97,,missing_pdb,False
F0NC98,,missing_pdb,False
F0NCA0,,missing_pdb,False
F0NCA7,,missing_pdb,False
F0NCA9,,missing_pdb,False
F0NCB4,,missing_pdb,False
F0NCB5,,missing_pdb,False
F0NCB7,,missing_pdb,False
F0NCC1,,missing_pdb,False
F0NCC2,,missing_pdb,False
F0NCC7,,missing_pdb,False
F0NCC9,,missing_pdb,False
F0NCD1,,missing_pdb,False
F0NCD2,,missing_pdb,False
F0NCD3,,missing_pdb,False
F0NCE0,,missing_pdb,False
F0NCE3,,missing_pdb,False
F0NCE7,,missing_pdb,False
F0NCF0,,missing_pdb,False
F0NCF1,,missing_pdb,False
F0NCF2,,missing_pdb,False
F0NCF3,,missing_pdb,False
F0NCF5,,missing_pdb,False
F0NCG2,,missing_pdb,False
F0NCG3,,missing_pdb,False
F0NCG4,,missing_pdb,False
F0NCG5,,missing_pdb,False
F0NCG7,,missing_pdb,False
F0NCH3,,missing_pdb,False
F0NCH5,,missing_pdb,False
F0NCI3,,missing_pdb,False
F0NCJ3,,missing_pdb,False
F0NCJ7,,missing_pdb,False
F0NCJ8,,missing_pdb,False
F0NCJ9,,missing_pdb,False
F0NCK0,,missing_pdb,False
F0NCK3,,missing_pdb,False
F0NCK7,,missing_pdb,False
