protein,pdb_path,reason,valid
A0A087WSX0,,missing_pdb,False
A0A0B4J280,,missing_pdb,False
A0A0J9YX57,,missing_pdb,False
A0A0U1RQV1,,missing_pdb,False
A0AUZ9,,missing_pdb,False
A0FGR8,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A0FGR8.pdb,exact_sequence_match,True
A0JNW5,,missing_pdb,False
A0JP26,,missing_pdb,False
A0MZ66,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A0MZ66.pdb,exact_sequence_match,True
A1IGU5,,missing_pdb,False
A2A2Z9,,missing_pdb,False
A2A3L6,,missing_pdb,False
A2CJ06,,missing_pdb,False
A2RTY3,,missing_pdb,False
A2RUB1,,missing_pdb,False
A2RUR9,,missing_pdb,False
A2RUU4,,missing_pdb,False
A3KMH1,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A3KMH1.pdb,exact_sequence_match,True
A4D2P6,,missing_pdb,False
A4FU49,,missing_pdb,False
A4UGR9,,missing_pdb,False
A5D8W1,,missing_pdb,False
A5PKW4,,missing_pdb,False
A5PLN7,,missing_pdb,False
A6H8Y1,,missing_pdb,False
A6H8Z2,,missing_pdb,False
A6NC86,,missing_pdb,False
A6NC97,,missing_pdb,False
A6NCI4,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A6NCI4.pdb,exact_sequence_match,True
A6NDG6,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A6NDG6.pdb,exact_sequence_match,True
A6NE02,,missing_pdb,False
A6NFE3,,missing_pdb,False
A6NFQ2,,missing_pdb,False
A6NG13,,missing_pdb,False
A6NGG8,,missing_pdb,False
A6NHS7,,missing_pdb,False
A6NHT5,,missing_pdb,False
A6NHZ5,,missing_pdb,False
A6NJ46,,missing_pdb,False
A6NJ64,,missing_pdb,False
A6NLX3,,missing_pdb,False
A6NMK8,,missing_pdb,False
A6PVC2,,missing_pdb,False
A7E2U8,,missing_pdb,False
A7E2V4,,missing_pdb,False
A7MBM2,,missing_pdb,False
A7MCY6,,missing_pdb,False
A8K7I4,,missing_pdb,False
A8K855,,missing_pdb,False
A8MPS7,,missing_pdb,False
A8MU46,,missing_pdb,False
A8MVM7,,missing_pdb,False
A8MWD9,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A8MWD9.pdb,exact_sequence_match,True
A8MXQ7,,missing_pdb,False
A8MY62,,missing_pdb,False
A8MZ26,,missing_pdb,False
A8TX70,,missing_pdb,False
B1AJZ9,,missing_pdb,False
B2RC85,,missing_pdb,False
B2RNN3,,missing_pdb,False
B2RTY4,,missing_pdb,False
B9A064,,missing_pdb,False
H3BNC9,,missing_pdb,False
J4T709,,missing_pdb,False
J4T902,,missing_pdb,False
J4TF41,,missing_pdb,False
J5MGJ8,,missing_pdb,False
