protein,pdb_path,reason,valid
A0A024QZX5,,missing_pdb,False
A0A024R0Y4,,missing_pdb,False
A0A024R1V6,,missing_pdb,False
A0A024R3B9,,missing_pdb,False
A0A024R4E5,,missing_pdb,False
A0A024R4M0,,missing_pdb,False
A0A024R4N9,,missing_pdb,False
A0A024R4Q5,,missing_pdb,False
A0A024R7W5,,missing_pdb,False
A0A024RCL3,,missing_pdb,False
A0A075B6F9,,missing_pdb,False
A0A075B6H3,,missing_pdb,False
A0A075B6Q3,,missing_pdb,False
A0A075B6T1,,missing_pdb,False
A0A075B6T4,,missing_pdb,False
A0A075B6X2,,missing_pdb,False
A0A075B716,,missing_pdb,False
A0A075B762,,missing_pdb,False
A0A075B769,,missing_pdb,False
A0A075B784,,missing_pdb,False
A0A075B7B1,,missing_pdb,False
A0A087WSV2,,missing_pdb,False
A0A087WSX5,,missing_pdb,False
A0A087WT20,,missing_pdb,False
A0A087WT30,,missing_pdb,False
A0A087WT90,,missing_pdb,False
A0A087WTF0,,missing_pdb,False
A0A087WTJ8,,missing_pdb,False
A0A087WTJ9,,missing_pdb,False
A0A087WTP3,,missing_pdb,False
A0A087WU78,,missing_pdb,False
A0A087WUB9,,missing_pdb,False
A0A087WUD7,,missing_pdb,False
A0A087WUP6,,missing_pdb,False
A0A087WUT6,,missing_pdb,False
A0A087WUV0,,missing_pdb,False
A0A087WUZ3,,missing_pdb,False
A0A087WV69,,missing_pdb,False
A0A087WVD9,,missing_pdb,False
A0A087WVF4,,missing_pdb,False
A0A087WVF7,,missing_pdb,False
A0A087WVK1,,missing_pdb,False
A0A087WVP1,,missing_pdb,False
A0A087WVP2,,missing_pdb,False
A0A087WVS2,,missing_pdb,False
A0A087WVW7,,missing_pdb,False
A0A087WW66,,missing_pdb,False
A0A087WW78,,missing_pdb,False
A0A087WW90,,missing_pdb,False
A0A087WW91,,missing_pdb,False
A0A087WW97,,missing_pdb,False
A0A087WWE7,,missing_pdb,False
A0A087WWZ6,,missing_pdb,False
A0A087WX34,,missing_pdb,False
A0A087WX60,,missing_pdb,False
A0A087WX95,,missing_pdb,False
A0A087WXF6,,missing_pdb,False
A0A087WXK8,,missing_pdb,False
A0A087WXL3,,missing_pdb,False
A0A087WXM8,,missing_pdb,False
A0A087WXU9,,missing_pdb,False
A0A087WXZ7,,missing_pdb,False
A0A087WYF6,,missing_pdb,False
A0A087WYM2,,missing_pdb,False
A0A087WYS1,,missing_pdb,False
A0A087WYW7,,missing_pdb,False
A0A087WYY3,,missing_pdb,False
A0A087WZ13,,missing_pdb,False
A0A087WZ85,,missing_pdb,False
A0A087WZE6,,missing_pdb,False
A0A087WZE9,,missing_pdb,False
A0A087WZG9,,missing_pdb,False
A0A087WZT9,,missing_pdb,False
A0A087WZZ3,,missing_pdb,False
A0A087X020,,missing_pdb,False
A0A087X054,,missing_pdb,False
A0A087X070,,missing_pdb,False
A0A087X096,,missing_pdb,False
A0A087X0E3,,missing_pdb,False
A0A087X0N3,,missing_pdb,False
A0A087X0Q9,,missing_pdb,False
A0A087X0R6,,missing_pdb,False
A0A087X0S7,,missing_pdb,False
A0A087X0X8,,missing_pdb,False
A0A087X135,,missing_pdb,False
A0A087X169,,missing_pdb,False
A0A087X1B7,,missing_pdb,False
A0A087X1J2,,missing_pdb,False
A0A087X1M6,,missing_pdb,False
A0A087X1N7,,missing_pdb,False
A0A087X1P5,,missing_pdb,False
A0A087X1R4,,missing_pdb,False
A0A087X1Z0,,missing_pdb,False
A0A087X298,,missing_pdb,False
A0A087X2B2,,missing_pdb,False
A0A096LNL9,,missing_pdb,False
A0A096LNM2,,missing_pdb,False
A0A096LNR9,,missing_pdb,False
A0A096LNX6,,missing_pdb,False
A0A096LP39,,missing_pdb,False
A0A0A0MQR2,,missing_pdb,False
A0A0A0MQT0,,missing_pdb,False
A0A0A0MQT7,,missing_pdb,False
A0A0A0MR21,,missing_pdb,False
A0A0A0MR87,,missing_pdb,False
A0A0A0MRB1,,missing_pdb,False
A0A0A0MRI2,,missing_pdb,False
A0A0A0MRM8,,missing_pdb,False
A0A0A0MRM9,,missing_pdb,False
A0A0A0MRN1,,missing_pdb,False
A0A0A0MRP6,,missing_pdb,False
A0A0A0MRX4,,missing_pdb,False
A0A0A0MRY8,,missing_pdb,False
A0A0A0MS48,,missing_pdb,False
A0A0A0MS51,,missing_pdb,False
A0A0A0MSA3,,missing_pdb,False
A0A0A0MSA9,,missing_pdb,False
A0A0A0MSB8,,missing_pdb,False
A0A0A0MSK5,,missing_pdb,False
A0A0A0MSV2,,missing_pdb,False
A0A0A0MSW4,,missing_pdb,False
A0A0A0MSY6,,missing_pdb,False
A0A0A0MSZ9,,missing_pdb,False
A0A0A0MT16,,missing_pdb,False
A0A0A0MT33,,missing_pdb,False
A0A0A0MTE0,,missing_pdb,False
A0A0A0MTH3,,missing_pdb,False
A0A0A0MTL5,,missing_pdb,False
A0A0A0MTM4,,missing_pdb,False
A0A0A0MTS7,,missing_pdb,False
A0A0A6YY92,,missing_pdb,False
A0A0A6YYA0,,missing_pdb,False
A0A0A6YYF7,,missing_pdb,False
A0A0A6YYI3,,missing_pdb,False
A0A0A6YYJ0,,missing_pdb,False
A0A0A6YYL4,,missing_pdb,False
A0A0B4J1R4,,missing_pdb,False
A0A0B4J1S8,,missing_pdb,False
A0A0B4J1V9,,missing_pdb,False
A0A0B4J1W3,,missing_pdb,False
A0A0B4J1Y0,,missing_pdb,False
A0A0B4J1Y7,,missing_pdb,False
A0A0B4J1Z1,,missing_pdb,False
A0A0B4J1Z8,,missing_pdb,False
A0A0B4J254,,missing_pdb,False
A0A0B4J2E5,,missing_pdb,False
A0A0C4DFL7,,missing_pdb,False
A0A0C4DFM1,,missing_pdb,False
A0A0C4DFP4,,missing_pdb,False
A0A0C4DFQ2,,missing_pdb,False
A0A0C4DFU3,,missing_pdb,False
A0A0C4DFW2,,missing_pdb,False
A0A0C4DFW7,,missing_pdb,False
A0A0C4DFX9,,missing_pdb,False
A0A0C4DG89,,missing_pdb,False
A0A0C4DGB0,,missing_pdb,False
A0A0C4DGB5,,missing_pdb,False
A0A0C4DGQ9,,missing_pdb,False
A0A0C4DGS1,,missing_pdb,False
A0A0C4DGU1,,missing_pdb,False
A0A0C4DGV9,,missing_pdb,False
A0A0C4DGW6,,missing_pdb,False
A0A0C4DGY0,,missing_pdb,False
A0A0C4DGZ1,,missing_pdb,False
A0A0C4DGZ6,,missing_pdb,False
A0A0C4DH65,,missing_pdb,False
A0A0D9SEJ8,,missing_pdb,False
A0A0D9SET0,,missing_pdb,False
A0A0D9SF54,,missing_pdb,False
A0A0D9SF94,,missing_pdb,False
A0A0D9SFC3,,missing_pdb,False
A0A0D9SFK7,,missing_pdb,False
A0A0D9SG77,,missing_pdb,False
A0A0D9SG79,,missing_pdb,False
A0A0G2JH30,,missing_pdb,False
A0A0G2JH38,,missing_pdb,False
A0A0G2JH67,,missing_pdb,False
A0A0G2JHC2,,missing_pdb,False
A0A0G2JK37,,missing_pdb,False
A0A0G2JM70,,missing_pdb,False
A0A0G2JN29,,missing_pdb,False
A0A0G2JNR6,,missing_pdb,False
A0A0G2JNT7,,missing_pdb,False
A0A0G2JNU3,,missing_pdb,False
A0A0G2JNZ5,,missing_pdb,False
A0A0G2JPR0,,missing_pdb,False
A0A0G2JPT5,,missing_pdb,False
A0A0G2JQ37,,missing_pdb,False
A0A0G2JQE3,,missing_pdb,False
A0A0G2JQF2,,missing_pdb,False
A0A0G2JQN5,,missing_pdb,False
A0A0G2JS52,,missing_pdb,False
A0A0J9YX34,,missing_pdb,False
A0A0J9YY76,,missing_pdb,False
A0A0R4J2F0,,missing_pdb,False
A0A0U1RQR1,,missing_pdb,False
A0A0U1RQS5,,missing_pdb,False
A0A0U1RQV4,,missing_pdb,False
A0A0U1RRH6,,missing_pdb,False
A0A0U1RRL8,,missing_pdb,False
A0A0X1KG68,,missing_pdb,False
A0A0X1KG69,,missing_pdb,False
A0A140T9L0,,missing_pdb,False
A0A140T9R1,,missing_pdb,False
A0A140TA01,,missing_pdb,False
A0A140TA34,,missing_pdb,False
A0A140TA73,,missing_pdb,False
A0A1B0GUL3,,missing_pdb,False
A0A5E8,,missing_pdb,False
A0AUZ9,,missing_pdb,False
A0AV96,,missing_pdb,False
A0AVF1-3,,missing_pdb,False
A0AVG3,,missing_pdb,False
A0FGR9,,missing_pdb,False
A0MZ66-2,,missing_pdb,False
A0PJZ0,,missing_pdb,False
A1BQX2,,missing_pdb,False
A1L020,,missing_pdb,False
