protein,pdb_path,reason,valid
A6NC78,,missing_pdb,False
A6NHR9,,missing_pdb,False
A6NIH7,,missing_pdb,False
A8MW92,,missing_pdb,False
B5ME19,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/B5ME19.pdb,exact_sequence_match,True
E9PAV3,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/E9PAV3.pdb,exact_sequence_match,True
O00139-4,,missing_pdb,False
O00178,,missing_pdb,False
O00193,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00193.pdb,exact_sequence_match,True
O00213,,missing_pdb,False
O00233,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00233.pdb,exact_sequence_match,True
O00255,,missing_pdb,False
O00267,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00267.pdb,exact_sequence_match,True
O00273,,missing_pdb,False
O00512,,missing_pdb,False
O00541,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00541.pdb,exact_sequence_match,True
O00559-2,,missing_pdb,False
O00566,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00566.pdb,exact_sequence_match,True
O00567,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00567.pdb,exact_sequence_match,True
O00571,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00571.pdb,exact_sequence_match,True
O14497,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14497.pdb,exact_sequence_match,True
O14530,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14530.pdb,exact_sequence_match,True
O14646,,missing_pdb,False
O14683,,missing_pdb,False
O14733-2,,missing_pdb,False
O14737,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14737.pdb,exact_sequence_match,True
O14744,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14744.pdb,exact_sequence_match,True
O14908,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14908.pdb,exact_sequence_match,True
O14929,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14929.pdb;/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/AF-O14929-F1-model_v6.pdb,sequence_mismatch,False
O14965,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14965.pdb;/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/AF-O14965-F1-model_v6.pdb,sequence_mismatch,False
O14979,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14979.pdb,exact_sequence_match,True
O14981,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O14981.pdb,exact_sequence_match,True
O15042,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15042.pdb,exact_sequence_match,True
O15078,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15078.pdb,exact_sequence_match,True
O15091,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15091.pdb,exact_sequence_match,True
O15144,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15144.pdb,exact_sequence_match,True
O15213,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15213.pdb,exact_sequence_match,True
O15226-2,,missing_pdb,False
O15264,,missing_pdb,False
O15294,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15294.pdb,exact_sequence_match,True
O15350,,missing_pdb,False
O15355,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15355.pdb,exact_sequence_match,True
O15371,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15371.pdb,exact_sequence_match,True
O15381,,missing_pdb,False
O15446-2,,missing_pdb,False
O15511-2,,missing_pdb,False
O15541,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O15541.pdb,exact_sequence_match,True
O43143,,missing_pdb,False
O43148-2,,missing_pdb,False
O43159,,missing_pdb,False
O43172,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43172.pdb,exact_sequence_match,True
O43242,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43242.pdb,exact_sequence_match,True
O43252,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43252.pdb,exact_sequence_match,True
O43290,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43290.pdb,exact_sequence_match,True
O43390-2,,missing_pdb,False
O43395,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43395.pdb,exact_sequence_match,True
O43422,,missing_pdb,False
O43491,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43491.pdb,exact_sequence_match,True
O43615,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43615.pdb,exact_sequence_match,True
O43633,,missing_pdb,False
O43639,,missing_pdb,False
O43660,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43660.pdb,exact_sequence_match,True
O43670-4,,missing_pdb,False
O43709-3,,missing_pdb,False
O43719,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43719.pdb,exact_sequence_match,True
O43768,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43768.pdb,exact_sequence_match,True
O43809,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O43809.pdb,exact_sequence_match,True
O43852-3,,missing_pdb,False
O43929,,missing_pdb,False
O60216,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O60216.pdb,exact_sequence_match,True
O60341-2,,missing_pdb,False
O60508,,missing_pdb,False
O60563,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O60563.pdb,exact_sequence_match,True
O60566-3,,missing_pdb,False
O60664,,missing_pdb,False
O60828,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O60828.pdb,exact_sequence_match,True
O60832,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O60832.pdb,exact_sequence_match,True
O60841,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O60841.pdb,exact_sequence_match,True
O60869,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O60869.pdb,exact_sequence_match,True
O60870,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O60870.pdb,exact_sequence_match,True
O60885,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O60885.pdb,exact_sequence_match,True
O60927,,missing_pdb,False
O60934,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O60934.pdb,exact_sequence_match,True
O60942,,missing_pdb,False
O75113,,missing_pdb,False
O75122-3,,missing_pdb,False
O75150,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75150.pdb,exact_sequence_match,True
O75151,,missing_pdb,False
O75152,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75152.pdb,exact_sequence_match,True
O75164,,missing_pdb,False
O75348,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75348.pdb,exact_sequence_match,True
O75362,,missing_pdb,False
O75367,,missing_pdb,False
O75390,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75390.pdb,exact_sequence_match,True
O75391,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75391.pdb,exact_sequence_match,True
O75439,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75439.pdb,exact_sequence_match,True
O75446,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75446.pdb,exact_sequence_match,True
O75461,,missing_pdb,False
O75475,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75475.pdb,exact_sequence_match,True
O75494,,missing_pdb,False
O75496,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75496.pdb,exact_sequence_match,True
O75521,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75521.pdb,exact_sequence_match,True
O75528,,missing_pdb,False
O75530-2,,missing_pdb,False
O75533,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75533.pdb,exact_sequence_match,True
O75534-4,,missing_pdb,False
O75554,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75554.pdb,exact_sequence_match,True
O75586-2,,missing_pdb,False
O75643,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75643.pdb,exact_sequence_match,True
O75674,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75674.pdb,exact_sequence_match,True
O75676,,missing_pdb,False
O75683,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75683.pdb,exact_sequence_match,True
O75691,,missing_pdb,False
O75717,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75717.pdb,exact_sequence_match,True
O75821,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75821.pdb,exact_sequence_match,True
O75822,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75822.pdb,exact_sequence_match,True
O75879,,missing_pdb,False
O75909-4,,missing_pdb,False
O75923-13,,missing_pdb,False
O75937,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75937.pdb,exact_sequence_match,True
O75940,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75940.pdb,exact_sequence_match,True
O75943,,missing_pdb,False
O75947,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O75947.pdb,exact_sequence_match,True
