protein,pdb_path,reason,valid
A0A0A0MQ90,,missing_pdb,False
A0A0J9YU79,,missing_pdb,False
A0A0J9YUD5,,missing_pdb,False
A0A0M3HEQ0,,missing_pdb,False
A0A0R4J050,,missing_pdb,False
A0A0R4J083,,missing_pdb,False
A0A0R4J0B4,,missing_pdb,False
A0A0R4J1E2,,missing_pdb,False
A0A0R4J293,,missing_pdb,False
A0A0U1RP81,,missing_pdb,False
A0A0U1RP94,,missing_pdb,False
A0A140LIT2,,missing_pdb,False
A0A1B0GR11,,missing_pdb,False
A0A1B0GRP7,,missing_pdb,False
A0A1B0GS68,,missing_pdb,False
A0A1B0GSU0,,missing_pdb,False
A0A1B0GSX0,,missing_pdb,False
A0A1L1SV25,,missing_pdb,False
A0JNU3,,missing_pdb,False
A1L0T0,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A1L0T0.pdb,exact_sequence_match,True
A1X283,,missing_pdb,False
A2A6A1,,missing_pdb,False
A2A791,,missing_pdb,False
A2A7S7,,missing_pdb,False
A2A8U2,,missing_pdb,False
A2AKQ0,,missing_pdb,False
A2ALK8,,missing_pdb,False
A2AQN4,,missing_pdb,False
A2AQR0,,missing_pdb,False
A2AS89,,missing_pdb,False
A2AT85,,missing_pdb,False
A2RRP1,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A2RRP1.pdb,exact_sequence_match,True
A2RUC4,,missing_pdb,False
A3KMH1,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A3KMH1.pdb,exact_sequence_match,True
A3KMP2,,missing_pdb,False
A4F5N7,,missing_pdb,False
A4F5N8,,missing_pdb,False
A4F5R3,,missing_pdb,False
A4F636,,missing_pdb,False
A4F673,,missing_pdb,False
A4F6F5,,missing_pdb,False
A4F6K4,,missing_pdb,False
A4F6R5,,missing_pdb,False
A4F6V2,,missing_pdb,False
A4F709,,missing_pdb,False
A4F761,,missing_pdb,False
A4F786,,missing_pdb,False
A4F7T4,,missing_pdb,False
A4F7V1,,missing_pdb,False
A4F7Y2,,missing_pdb,False
A4F7Y3,,missing_pdb,False
A4F864,,missing_pdb,False
A4F866,,missing_pdb,False
A4F893,,missing_pdb,False
A4F8Q4,,missing_pdb,False
A4F8R1,,missing_pdb,False
A4F917,,missing_pdb,False
A4F9C3,,missing_pdb,False
A4F9D7,,missing_pdb,False
A4F9F6,,missing_pdb,False
A4F9I1,,missing_pdb,False
A4F9L1,,missing_pdb,False
A4F9N6,,missing_pdb,False
A4FA67,,missing_pdb,False
A4FA82,,missing_pdb,False
A4FAF1,,missing_pdb,False
A4FAJ3,,missing_pdb,False
A4FAM7,,missing_pdb,False
A4FAP1,,missing_pdb,False
A4FAR3,,missing_pdb,False
A4FBI0,,missing_pdb,False
A4FBM6,,missing_pdb,False
A4FBN9,,missing_pdb,False
A4FBP0,,missing_pdb,False
A4FBP1,,missing_pdb,False
A4FBP5,,missing_pdb,False
A4FBR9,,missing_pdb,False
A4FC18,,missing_pdb,False
A4FD45,,missing_pdb,False
A4FFJ2,,missing_pdb,False
A4FFJ3,,missing_pdb,False
A4FGG8,,missing_pdb,False
A4FGU2,,missing_pdb,False
A4FKA2,,missing_pdb,False
A4FKE5,,missing_pdb,False
A4FKU1,,missing_pdb,False
A4FLI0,,missing_pdb,False
A4FLT9,,missing_pdb,False
A4FLU4,,missing_pdb,False
A4FM10,,missing_pdb,False
A4FM20,,missing_pdb,False
A4FM34,,missing_pdb,False
A4FM59,,missing_pdb,False
A4FMD6,,missing_pdb,False
A4FMN9,,missing_pdb,False
A4FMP0,,missing_pdb,False
A4FMP8,,missing_pdb,False
A4FMY9,,missing_pdb,False
A4FN28,,missing_pdb,False
A4FN47,,missing_pdb,False
A4FNC5,,missing_pdb,False
A4FND0,,missing_pdb,False
A4FNG4,,missing_pdb,False
A4FNH9,,missing_pdb,False
A4FNS0,,missing_pdb,False
A4FPA6,,missing_pdb,False
A4FPE7,,missing_pdb,False
A4FPJ1,,missing_pdb,False
A4FPJ2,,missing_pdb,False
A4FPJ3,,missing_pdb,False
A4FPK8,,missing_pdb,False
A4FPL4,,missing_pdb,False
A4FPP2,,missing_pdb,False
A4FPQ6,,missing_pdb,False
A4FPQ7,,missing_pdb,False
A4FPS1,,missing_pdb,False
A4FPY2,,missing_pdb,False
A4FQ02,,missing_pdb,False
A4FQ26,,missing_pdb,False
A4FQL3,,missing_pdb,False
A4FQX9,,missing_pdb,False
A4FR32,,missing_pdb,False
A5YKK6,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A5YKK6.pdb,exact_sequence_match,True
A6NHR9,,missing_pdb,False
A6NNL5,,missing_pdb,False
A6ZI46,,missing_pdb,False
A7UAK5,,missing_pdb,False
A8DUK4,,missing_pdb,False
A9UHW6,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/A9UHW6.pdb,exact_sequence_match,True
B1AUN2,,missing_pdb,False
B1AX58,,missing_pdb,False
B1AZI6,,missing_pdb,False
B2RQC6,,missing_pdb,False
B2RT41,,missing_pdb,False
D3Z041,,missing_pdb,False
D3Z563,,missing_pdb,False
D3Z7X0,,missing_pdb,False
D4AFX7,,missing_pdb,False
E2JF22,,missing_pdb,False
E9PVA8,,missing_pdb,False
E9PVP0,,missing_pdb,False
E9PYH2,,missing_pdb,False
E9PZF0,,missing_pdb,False
E9Q456,,missing_pdb,False
E9Q4K7,,missing_pdb,False
E9Q4Z2,,missing_pdb,False
E9Q557,,missing_pdb,False
E9Q5C9,,missing_pdb,False
E9Q8K5,,missing_pdb,False
E9QJW0,,missing_pdb,False
F2Z456,,missing_pdb,False
F6ZDS4,,missing_pdb,False
F7BP55,,missing_pdb,False
F8VPK0,,missing_pdb,False
F8VPM7,,missing_pdb,False
F8VPN4,,missing_pdb,False
F8VQC1,,missing_pdb,False
F8VQM0,,missing_pdb,False
F8WH69,,missing_pdb,False
F8WID5,,missing_pdb,False
G3UY93,,missing_pdb,False
G3X925,,missing_pdb,False
G3X972,,missing_pdb,False
G3X982,,missing_pdb,False
G3X9T7,,missing_pdb,False
G5E8M7,,missing_pdb,False
G5E8T9,,missing_pdb,False
H3BKH6,,missing_pdb,False
J3QN31,,missing_pdb,False
J3QPZ9,,missing_pdb,False
K3W4L7,,missing_pdb,False
O00116,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00116.pdb,exact_sequence_match,True
O00139,,missing_pdb,False
O00151,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00151.pdb,exact_sequence_match,True
O00170,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00170.pdb;/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/AF-O00170-F1-model_v6.pdb,sequence_mismatch,False
O00193,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00193.pdb,exact_sequence_match,True
O00231,/data/ranran/my_ptm/croton/data/structure_pipeline/pdb/O00231.pdb,exact_sequence_match,True
